D,level,dr,dz,rho_max,z_max,Nr,Nz,E1,E2,omega1,omega2,M12,chi,overlap12
6.0,coarse,0.1,0.05,1.5,4.5,15,180,2.592993633233505,2.9754199834435133,1.8955193571244544,1.9938455264747852,-1.6654572077991219e-16,1.467313848453611e-19,6.938893903907228e-18
6.0,mid,0.08,0.04,1.5,4.5,19,225,2.5646433456971787,2.9480742359490213,1.8880263095881844,1.9869761538450885,-2.4749914861869256e-16,2.2776408773804863e-19,-6.938893903907228e-17
6.0,fine,0.06,0.03,1.5,4.5,25,300,2.66071474673939,3.0454155049018854,1.913299439904635,2.011321830265332,-2.0937674593545814e-16,1.6646236393604952e-19,3.122502256758253e-17
12.0,coarse,0.1,0.05,1.5,7.5,15,300,2.481476416623655,2.6278431010015875,1.8658714898469442,1.904689765027782,-2.986487401419891e-16,3.129404264467548e-19,-1.8735013540549517e-16
12.0,mid,0.08,0.04,1.5,7.5,19,375,2.4528873062370975,2.5994394399280454,1.8581946362631385,1.8972188698007526,-8.294151288264527e-17,9.094288541254649e-20,1.457167719820518e-16
12.0,fine,0.06,0.03,1.5,7.5,25,500,2.5484954471408905,2.69536869040294,1.8837450589559328,1.92233417760881,6.031745387031227e-16,5.691144502634582e-19,3.469446951953614e-18
18.0,coarse,0.1,0.05,1.5,10.5,15,420,2.5244361925347762,2.6429261525564485,1.8773481809549277,1.9086451091170533,5.172944966109053e-16,5.066928430501501e-19,-6.938893903907228e-18
18.0,mid,0.08,0.04,1.5,10.5,19,525,2.4958695311749053,2.6144775477838893,1.869724453275109,1.9011779369075081,-4.685951327074597e-16,4.800031474685568e-19,1.734723475976807e-16
18.0,fine,0.06,0.03,1.5,10.5,25,700,2.5143549238334124,2.591513226214318,1.874661282427685,1.8951288152034198,6.235197116355693e-16,6.204392699238024e-19,2.1098574276567916e-16
