D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,omega1,omega2,M12,chi,norm1,norm2,overlap12,build_s,solve_s
6.0,coarse,1.5,4.5,0.1,0.05,15,180,2.592993633233505,2.9754199834435133,1.8955193571244544,1.9938455264747852,-1.682896550289165e-16,1.4826783913693555e-19,0.9999999999999999,0.9999999999999999,6.938893903907228e-18,0.0046749114990234375,0.00551915168762207
6.0,fine,1.5,4.5,0.06,0.03,25,300,2.66071474673939,3.0454155049018854,1.913299439904635,2.011321830265332,-2.0890588368822697e-16,1.6608801079376456e-19,0.9999999999999999,1.0,3.122502256758253e-17,0.0032930374145507812,0.02110004425048828
6.0,mid,1.5,4.5,0.08,0.04,19,225,2.5646433456971787,2.9480742359490213,1.8880263095881844,1.9869761538450885,-2.4819672231829424e-16,2.2840603837992585e-19,1.0,1.0,-6.938893903907228e-17,0.0028121471405029297,0.01012873649597168
12.0,coarse,1.5,7.5,0.1,0.05,15,300,2.481476416623655,2.6278431010015875,1.8658714898469442,1.904689765027782,-2.987577360325519e-16,3.1305463828122445e-19,1.0,1.0,-1.8735013540549517e-16,0.0013649463653564453,0.011706113815307617
12.0,fine,1.5,7.5,0.06,0.03,25,500,2.5484954471408905,2.69536869040294,1.8837450589559328,1.92233417760881,6.028606305383019e-16,5.688182678797666e-19,0.9999999999999999,0.9999999999999998,3.469446951953614e-18,0.0018689632415771484,0.03626513481140137
12.0,mid,1.5,7.5,0.08,0.04,19,375,2.4528873062370975,2.5994394399280454,1.8581946362631385,1.8972188698007526,-8.252296866288423e-17,9.048396420777333e-20,1.0,1.0,1.457167719820518e-16,0.001486063003540039,0.022394180297851562
18.0,coarse,1.5,10.5,0.1,0.05,15,420,2.5244361925347762,2.6429261525564485,1.8773481809549277,1.9086451091170533,5.17403492501468e-16,5.067996051325458e-19,0.9999999999999999,0.9999999999999999,-6.938893903907228e-18,0.001477956771850586,0.01676201820373535
18.0,fine,1.5,10.5,0.06,0.03,25,700,2.5143549238334124,2.591513226214318,1.874661282427685,1.8951288152034198,6.235099020054186e-16,6.20429508757226e-19,1.0,0.9999999999999998,2.1098574276567916e-16,0.004068851470947266,0.04558205604553223
18.0,mid,1.5,10.5,0.08,0.04,19,525,2.4958695311749053,2.6144775477838893,1.869724453275109,1.9011779369075081,-4.688392835023202e-16,4.802532421490391e-19,0.9999999999999999,0.9999999999999999,1.734723475976807e-16,0.0017039775848388672,0.026655912399291992
