D,level,Nz,zmax,E1,E2,E3,omega1,omega2,stable1,stable2,delta_omega12
6.0,coarse,4001,80.0,-0.48032802312823847,-0.4538946018867365,0.005654945945938671,0.7208827760959208,0.73898944384427,True,True,0.018106667748349237
6.0,mid,6001,80.0,-0.47966175841183983,-0.45318675633032307,0.005654948926187743,0.7213447453112556,0.7394682168083202,True,True,0.018123471497064614
6.0,fine,8001,80.0,-0.4794374275180444,-0.45294840099174416,0.005654949939752785,0.721500223480184,0.7396293659720765,True,True,0.018129142491892458
12.0,coarse,4001,80.0,-0.4790325919142383,-0.4786653193973429,0.00574547039737202,0.7217807202230895,0.722035096517238,True,True,0.00025437629414848395
12.0,mid,6001,80.0,-0.47834360978929225,-0.4779747201689212,0.005745474995812657,0.7222578419170731,0.7225131693132513,True,True,0.00025532739617817324
12.0,fine,8001,80.0,-0.4781115780400631,-0.47774214229939793,0.005745476556325549,0.7224184535018031,0.7226741019993743,True,True,0.00025564849757120367
18.0,coarse,4001,80.0,-0.4824579660647165,-0.48245268562276455,0.005886899156894873,0.7194039435082932,0.719407613510752,True,True,3.670002458822097e-06
18.0,mid,6001,80.0,-0.48176629334139,-0.4817609744027066,0.0058869055495199794,0.719884509250345,0.7198882035408647,True,True,3.6942905197179243e-06
18.0,fine,8001,80.0,-0.48153337700574683,-0.48152804504454294,0.005886907717417612,0.720046264481841,0.7200499669852483,True,True,3.7025034073101537e-06
