r,lap_num,lap_exact,abs_err,rel_err
0.16010012000023996,-125.17561733899483,-125.17548419284151,0.00013314615331694313,1.0636759599972646e-06
2.907622180644361,-0.00014392888429988766,-0.0001439288652039343,1.909595336133281e-11,1.3267632822836166e-07
5.655144241288482,-5.183137252542083e-06,-5.182787193383816e-06,3.5005915826665245e-10,6.754264553125527e-05
8.402826302052603,-7.161616967223794e-07,-7.158805516021278e-07,2.811451202515975e-10,0.0003927262999705744
11.150348362696723,-1.739418172808085e-07,-1.74017029797313e-07,7.521251650449877e-11,0.0004322135402040986
13.897870423340844,-5.77598803793534e-08,-5.785271609608848e-08,9.28357167350832e-11,0.001604690721536581
16.645552484104964,-2.3478994413458903e-08,-2.3474210650705735e-08,4.7837627531683645e-12,0.00020378801333728955
19.393074544749087,-1.065750528443604e-08,-1.0936013859663589e-08,2.7850857522754794e-10,0.025467101523599878
22.140756605513207,-5.703418325963587e-09,-5.638152494678664e-09,6.52658312849233e-11,0.011575747790880388
24.88827866615733,-3.2840109586602253e-09,-3.1414447272671595e-09,1.4256623139306584e-10,0.04538237778166756
27.63580072680145,-1.914097655617283e-09,-1.8610017281409229e-09,5.3095927476360064e-11,0.028530831902773716
30.383482787565573,-1.1176416449531537e-09,-1.1585685120962678e-09,4.09268671431141e-11,0.035325374991473445
33.1310048482097,-8.334967265320238e-10,-7.515161591513221e-10,8.198056738070169e-11,0.10908689904057597
35.878526908853814,-5.61912251968759e-10,-5.04591351246985e-10,5.732090072177396e-11,0.1135986587564732
38.62620896961794,-3.5088431494267517e-10,-3.489020723669911e-10,1.9822425756840676e-12,0.0056813723181301555
41.37373103026206,-3.264017840899968e-10,-2.4745229048291913e-10,7.894949360707768e-11,0.31904935473825136
44.12141309102618,-2.0411968179626417e-10,-1.7941907403750603e-10,2.4700607758758143e-11,0.13766990990932598
46.8689351516703,-1.4486311075401838e-10,-1.326449985106892e-10,1.2218112243329168e-11,0.09211136779005331
49.61645721231442,-8.868005570968662e-11,-9.976727031386766e-11,1.1087214604181035e-11,0.11113078035813426
52.36413927307854,-7.110469350203606e-11,-7.619868010447725e-11,5.09398660244119e-12,0.06685137584347581
55.111661333722665,-6.935907415159816e-11,-5.900654214251488e-11,1.035253200908328e-11,0.1754471899756377
57.85918339436679,-7.974883420452505e-11,-4.626542032878871e-11,3.3483413875736343e-11,0.7237244066472093
60.60686545513091,-2.623035674195513e-11,-3.6686745161530925e-11,1.0456388419575796e-11,0.2850181550185646
63.35438751577503,-4.471804518780006e-11,-2.939240114648692e-11,1.532564404131314e-11,0.5214151768320199
66.10206957653915,-5.192048839198996e-11,-2.3770782877829448e-11,2.8149705514160514e-11,1.1842144896462456
68.84959163718327,1.2176183676887894e-11,-1.9391531978845372e-11,3.1567715655733265e-11,1.6279124150774238
71.5971136978274,-1.476449474218216e-11,-1.5945625579867893e-11,1.1811308376857343e-12,0.07407240511008661
74.34479575859152,3.755065551689307e-11,-1.320889314452896e-11,5.075954866142203e-11,3.8428313490026467
77.09231781923563,-3.120169254415648e-11,-1.101701427427758e-11,2.01846782698789e-11,1.832136890028898
79.83999987999975,-2.9863292212471895e-11,-9.247341864146943e-12,2.0615950348324952e-11,2.2293920405663243
