D_target,D_used_cardy,D_used_fp2d,N,g_cardy,g_fp2d,g_cardy_over_g3,g_fp2d_over_g3,ratio_fp2d_to_cardy
6.0,6.0,6.0,1,6.133707406236226,5.7418836159393525,72.62201799250954,67.98289315914982,0.936119582440711
6.0,6.0,6.0,2,0.3943027583836226,0.3850724535549258,4.668475379950128,4.559190192550345,0.9765908185209384
6.0,6.0,6.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
6.0,6.0,6.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
6.0,6.0,6.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
6.0,6.0,6.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
12.0,12.0,12.0,1,6.133707406236226,5.752817124184258,72.62201799250954,68.1123439757433,0.9379021109378788
12.0,12.0,12.0,2,0.3943027583836226,0.385702568239932,4.668475379950128,4.56665063970916,0.978188866395595
12.0,12.0,12.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
12.0,12.0,12.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
12.0,12.0,12.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
12.0,12.0,12.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
18.0,18.0,18.0,1,6.133707406236226,5.757314608233725,72.62201799250954,68.16559339667742,0.938635351660267
18.0,18.0,18.0,2,0.3943027583836226,0.3858120789271932,4.668475379950128,4.5679472270052175,0.9784665988865118
18.0,18.0,18.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
18.0,18.0,18.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
18.0,18.0,18.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
18.0,18.0,18.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
